Scholarship,Qualifications
Alumni Awards,Based on superior academic achievement.
American Home Foundation Scholarship,Based on superior academic achievement in central Ohio and exceptional promise in the STEM fields.
Arts Scholarships,Based on exceptional talent in the performing or fine arts and academic achievement. There are additional elements required to be considered for an arts scholarship. Read more about how to apply for an arts scholarship.
Austin E. Knowlton Scholarship,Based on superior academic achievement in Ohio and exceptional promise in the STEM fields.
Carl Jakust Memorial Scholarship,Based on demonstrated financial need and superior academic and extracurricular achievement at Cass Technical High School (Detroit).
Michele Myers Fellowship in the Arts,"Based on superior academic achievement and demonstrated talent in visual art, performing art, or creative writing."
Reese Scholars,"Based on superior academic achievement and financial need, to eliminate the student loan expectation in selected students’ financial aid packages."
Silverstein Scholars,"Based on superior academic achievement and financial need, to eliminate the student loan expectation in selected students’ financial aid packages."
S-STEM Scholarship,Based on exceptional academic achievement in STEM fields and on financial need.
,
