Scholarship Name,Required Enrollment,Qualifications
Ronald and Charles Howard Abbott Scholarship,Full or part time,"Enrolled at OHIO SouthernGraduate of Dawson Bryant High School in Coal Grove, OHDemonstrate financial need"
ACTION: Psychology Club Scholarship,Full time,Must be a psychology majorMinimum 3.0 GPA
Clifford E. and Jean Peters Allen Scholarship,Full or part time,Lawrence County undergraduate attending OUSBased on need and academic performance
Beddall Family Scholarship,Full time,Student attending OUS.
Les Boggs Nursing Scholarship,Full time,"Student residing in Lawrence County, Ohio Majoring in Nursing at OUS Minimum 3.0 GPA Non-renewable"
Coal Grove Betterment Club Scholarship*,Full time,"Dawson Bryant High School graduating senior attending OUSDemonstrate financial needMinimum 3.0 GPASupplemental application requiredDecision made by Coal Grove Betterment Club president, a Coal Grove High School and an Ohio University Southern representative."
Brittany Clark Boles Memorial Scholarship,Full or part time,Enrolled at Ohio Southern in the either the ADN or BSN nursing programsMinimum 2.75 GPADemonstrate financial need.
Mary G. Colfer Scholarship,Full time,Lawrence County undergraduate attending OUS Education major
Mattie Conley Pre-Nursing Scholarship,Full time,Enrolled at Ohio Southern as a pre-nursing studentMinimum 2.75 GPADemonstrate financial need
Carlton E. Davidson Scholarship,Full time,"Lawrence County, OH undergraduate attending OUS."
Dean's Scholarship,Full time,Undergraduate attending OUSMinimum 3.3 GPAMust have earned a minimum of 24 credit hours
W.F. Dickens Family Scholarship,Full time,Enrolled at OHIO SouthernDemonstrate financial needFirst preference given to science majorSecond preference to business or accounting major
Dingus Family Scholarship,Full time,Graduating high school senior residing in Lawrence CountyMust be a first generation college studentMinimum 3.0 GPANon-Renewable
Dorado Family Scholarship,Full time,"Lawrence County, OH resident enrolled at OUSMust demonstrate financial needIt is desirable, but not required, that the scholarship recipient be involved in some community serviceThe scholarship will be renewable as long as the student maintains a 3.0 GPA."
Bernard Edwards Scholarship,Full time,"Enrolled at OHIO SouthernGraduate of Fairland, Chesapeake or Symmes Valley HighSchool in Lawrence County, OHMinimum 2.5 GPADemonstrate financial needNon-renewable"
Don Edwards Scholarship,Full time,"Enrolled at OHIO SouthernGraduate of a Lawrence County, OH high schoolMinimum 3.0 GPADemonstrate financial needNon-renewable"
Evans Family Scholarship*,Full time,"Graduating high school senior residing in Lawrence County, OHFirst generation college studentMinimum 3.0 GPAAdditional application needed and 300-500 word essay on ""Why I want to go to college""Non-renewable"
Clarence and Grace Marie Feil Scholarship,Full time or part time,Awarded to OUS student with a minimum 3.0 GPA
First Star Tri-State Region Scholarship,Full time,"Must attend OUS majoring in businessMust be a graduate of Gallia, Lawrence or Scioto County, Ohio High SchoolsMinimum 3.4 GPA"
Frankfurt Scholarship,Full time,Undergraduate attending OUS Must be a resident of Kentucky or West Virginia Demonstrate financial need Minimum 2.5 GPA
Fruth Pharmacy,Full time,"Incoming freshmanMust reside in Lawrence County, OHFirst preference given to first generation college studentSecond preference based on financial need"
Barry W. Gillum Nursing Scholarship,Full time,"Must be in the OUS ADN programDemonstrate financial needFirst preference given to Boyd County, KY residents."
Zelma S. Holmes Scholarship,Full time,"Enrolled at OHIO SouthernReside in Lawrence County, OH or Boyd County, KYDemonstrate financial need and academic meritIncoming freshmen must have a minimum 3.0 GPA; continuing students must maintain a 3.0 GPADemonstrate community service."
Jule Huffman Scholarship,Full time,OUS undergraduate majoring in Electronic Media Minimum 3.0 GPA
India Association Scholarship by Dr. B.R. Yalamanchili*,Full time,"Undergraduate attending OUSMinimum 2.75 GPA upon high school graduation or 2.5 GPA at OUS, whichever is most recentMust provide an essay (300-500 words) on ""Indian Culture and Philosophy""Freshman India Association ScholarshipUpperclassman India Association Scholarship"
Ironton Empowerment Zone Service Scholarship,Full time,Must live in the Ironton Empowerment Zone (Railroad to Spruce and the floodwall to US 52)Based on academic potential and financial needService component required (100 hours)Minimum 2.75 GPA
Charles W. Jarrett Memorial Scholarship,Full time,Enrolled at Ohio SouthernDemonstrates financial need and academic meritPreference given to a first-generation college student
Dixie Ann Johnson/Yalamanchili Scholarship,Full time,Must be a graduate of Paul Blazer High School attending OUSMust demonstrate financial needMinimum 3.0 GPAPreference given to math majorsNon-renewable
Kadim Family Scholarship,Full time,"Graduating high school senior residing in Lawrence County, OHScience majorMust demonstrate financial needMust have and maintain a minimum 3.0 GPANon-renewable"
Melissa Dae Kennedy Memorial Scholarship,Full time,18-24 year old undergraduate attending OUS Resident of KentuckyHigh school GPA of 2.0-3.0Preference given to Boyd County High School graduates
Kentucky Educational Excellence Scholarship Waiver,Full time,"Must attend OUSAwarded to graduates from high schools from the following Kentucky counties: Boyd, Carter, Elliot, Fleming, Greenup, Lawrence, Lewis Mason and RowanAwarded up through a maximum of five years after high school graduationRecipients will be required to send a copy of eligibility letter to Office of Student ServicesRenewable with an accumulative 2.5 OU GPA"
Lawrence County Bar Association Scholarship,Full or part time,"Enrolled at Ohio Southern and reside in Lawrence County, OH."
Little Lambs Scholarship in Memory of Rachel Ann Marie Delaney,Full time,"U.S. citizen or permanent resident attending OUS enrolled in the nursing programMinimum 3.0 GPASecond-year nursing studentPreference given to students interested in mother-baby, neonatal, or pediatric nursingEssay required"
Dick Martin Memorial Scholarship,Full time,Must attend OUSMajoring in electronic mediaDemonstrate financial needMinimum 2.5 GPANon-renewable
Judge Frank McCown Veterans Memorial Scholarship*,Full time,Enrolled in and accepted at Ohio University SouthernDemonstrate financial needPreference will be given to dependents of veteransSupplemental material required: Freshman Judge Frank McCown Veterans Memorial Scholarship
Our Lady of Bellefonte Hospital Scholarship,Full time,"Must major in nursing at OUSMust reside in Greenup, Boyd, Carter, Lawrence, Elliot or Lewis counties in Kentucky, Scioto or Lawrence County in Ohio, Wayne or Cabell County in WVMinimum 3.0 GPA"
OUS Faculty & Staff Scholarship,Full time,Undergraduate attending OUSMust maintain 3.3 GPABased on academic meritNon-renewable
OUS Technology Scholarship*,Full time,Graduating high school senior attending OUS who has completed a tech prep program with a 3.0 GPARenewable for one yearSupplemental materials required
Dr. Nicole Pennington Scholarship,Full time,Enrolled at Ohio Southern in the nursing programMinimum 2.75 GPA
Peoples Bank Scholarship,Full time,"Must be a full-time, degree-seeking undergraduate student enrolled in or accepted for admission to OHIO Southern CampusMust demonstrate financial needMinimum 2.5 GPAMust reside in Lawrence or Scioto counties in OhioMust be pursuing a degree in accounting, business or finance"
Queen-Utsinger Academic Team Scholarship,Full time,Must be a member of the OUS Academic TeamMinimum 3.0 GPA
Bob and Kay Rader Scholarship,Full time,Must be majoring in equine studies or education at OUSFirst consideration goes to Equine Studies MajorMinimum 3.0 GPA
Don Ray Broadcasting Scholarship,Full or part time,Enrolled at Ohio Southern in electronic media
Winona Reynolds Scholarship,Full time,Student attending OUS pursuing degree in special education
"H. B. Doc Riley, Chapter 51, Disabled American Veterans Scholarship*",Full time,"Lawrence County undergraduate with a disabled veteran in their familyRecipient must attend OUSMust submit an essay on ""The Importance of the Military to the USA""Minimum 3.0 GPAFreshman HB Doc Riley, Ch. 51 Disabled American Veterans ScholarshipUpperclassman HB Doc Riley, Ch. 51 Disabled American Veterans Scholarship"
Rollyson/RAP/Belville Scholarship,Full or part time,"Undergraduate student attending OUSReside in Lawrence or Scioto County, OHMust demonstrate continued advancement, financial need, and academic merit"
Ben Saunders Memorial Scholarship,Full time,Recipients must be degree-seeking and enrolled in or accepted for admission to OUSMust be U.S. citizens or permanent residentsMinimum 3.3 GPAPreference given to students majoring in historyRecipients chosen principally on academic performance or potential
Harold Wesley Shafer Memorial Scholarship,Full time,"Must be a graduating seniorMinimum 24 ACT3.0 GPAFirst preference given to an Ironton, OH or Raceland, KY high school graduate"
Bob Smith Scholarship,Full time,First preference given to electronic media student
Greg Smith Scholarship,Full time,"Must be a graduating senior from Chesapeake, Fairland, South Point, or Symmes Valley High School and attending the Proctorville CenterMinimum 2.5 GPAScholarship will rotate among qualifying schoolsNon-renewable"
Roy F. Smith Scholarship,Full time,Enrolled at OHIO SouthernMust be a graduate of Fairland High SchoolMust be involved in community servicePreference given if in top 25 % of graduating class
Southern Ohio Medical Center Nursing Scholarship,Full time,Majoring in Nursing at OUSMust demonstrate financial needGraduate of a Scioto County high schoolMinimum 3.0 GPANon-renewable
Thomas Family Endowment,Full time,"Enrolled at OHIO Southern in a business related programGraduate of a Lawrence County, OH high schoolMinimum 3.0 GPAPreference give to Rock Hill High School graduate"
Harold K. Thomas and Lena Thomas Scholarship,Full or part time,Enrolled at Ohio SouthernReside in Lawrence CountyAwarded on basis of financial need and academic merit
Richard L. Thornton Memorial Scholarship,Full time,Must be a student majoring in electronic media with 30 or more hours earnedMinimum 2.7 GPARenewable up to one year
Trumbo Family Scholarship,Full time,Lawrence County undergraduate attending OUS
Dr. Tony and Mary L. Virgin Scholarship,Full time,Student majoring in the social science or health fieldMust be a Lawrence County residentMinimum 3.4 GPA
Thomas Edwin Wilkes Scholarship,Full time,"Must be enrolled at OUS majoring in speech or theatreMust demonstrate financial needMust be entering Sophomore yearMust reside in Lawrence or Scioto Counties in Ohio, Cabell or Wayne counties in WV, Boyd or Greenup Counties in KentuckyMinimum 3.0 GPA"
Willis Family Scholarship,Full or part time,"Lawrence County, OH undergraduate attending OUSDemonstrate financial needMinimum 3.0 GPA"
Dorothy W. Wolfe Nursing Scholarship,Full time,"Student must be enrolled in the OUS Nursing ProgramGraduate of Ironton St. Joseph, Ironton, Dawson Bryant, Rock Hill, South Point, Russell or Fairview High SchoolMinimum 3.0 GPA"
Myrtle E. and Lloyd Wood Memorial Scholarship*,Full time,"Undergraduate attending OUS majoring in educationMust be a graduate of a Lawrence County, OH high schoolAdditional application is needed (see below)Freshman Myrtle E. and Lloyd Wood Memorial Scholarship Upperclassman Myrtle E. and Lloyd Wood Memorial Scholarship"
Gwen Worley and Family Memorial Scholarship,Full time,Awarded to an Ironton High School graduate majoring in equine studies or special educationDemonstrate financial needMinimum 2.5 GPA
W. Harold and Kathryn L. Young Veterans Scholarship,Full or part time,"Enrolled at OHIO SouthernVeteran or member of a veteran’s familyMinimum 2.75 GPAPreference given to Lawrence County, OH residentsDemonstrate financial need"
